,Start,End
0,1.6830854415893555,1.9066908359527588
1,1.938779592514038,3.026538848876953
2,3.089244842529297,3.154454469680786
3,4.2739176750183105,7.5222697257995605
4,7.954903602600098,8.260052680969238
5,9.810388803482056,11.570794343948364
6,12.994500160217285,15.37800407409668
7,15.587106943130493,15.938326120376587
8,16.017611503601074,16.305379152297974
9,16.481886386871338,16.674479246139526
10,17.570574522018433,19.298807859420776
11,20.75447988510132,22.273674964904785
12,23.07398295402527,23.13818883895874
